keyword_name,keyword_pc_search,keyword_phone_search,cafe_contents,blog_contents,smart_store_products,naver_blog_contents_divide_keyword_pc_search,naver_blog_contents_divide_keyword_phone_search,naver_blog_contents_divide_all_keyword_search,naver_cafe_contents_divide_keyword_pc_search,naver_cafe_contents_divide_keyword_phone_search,naver_cafe_contents_divide_all_keyword_search,naver_smart_store_divide_keyword_pc_search,naver_smart_store_divide_keyword_phone_search,naver_smart_store_divide_all_keyword_search
마케팅,23500,19700,2519678,4607433,59997,196.06097872340425,233.87984771573605,106.65354166666667,107.22034042553192,127.90243654822335,58.32587962962963,2.553063829787234,3.0455329949238577,1.3888194444444444
키워드광고,5510,1650,177701,222240,48,40.33393829401089,134.6909090909091,31.039106145251395,32.25063520871144,107.69757575757576,24.818575418994413,0.008711433756805808,0.02909090909090909,0.0067039106145251395
키워드,5300,5340,1920135,1999758,7565,377.31283018867924,374.4865168539326,187.94718045112782,362.2896226415094,359.5758426966292,180.46381578947367,1.4273584905660377,1.4166666666666667,0.7109962406015038
마케팅방법,250,210,647954,1110956,220,4443.824,5290.266666666666,2415.121739130435,2591.816,3085.495238095238,1408.595652173913,0.88,1.0476190476190477,0.4782608695652174
키워드사이트,30,10,130724,177901,6,5930.033333333334,17790.1,4447.525,4357.466666666666,13072.4,3268.1,0.2,0.6,0.15
온라인마케팅,2980,2530,124982,696785,672,233.8204697986577,275.40909090909093,126.45825771324864,41.94026845637584,49.4,22.682758620689654,0.22550335570469798,0.2656126482213439,0.12196007259528131
광고대행사,3330,1790,56697,184790,51,55.492492492492495,103.23463687150839,36.091796875,17.026126126126126,31.674301675977652,11.0736328125,0.015315315315315315,0.028491620111731845,0.0099609375
홈페이지광고,120,70,555263,681653,41,5680.441666666667,9737.9,3587.6473684210528,4627.191666666667,7932.328571428571,2922.436842105263,0.3416666666666667,0.5857142857142857,0.21578947368421053
광고대행,790,660,541275,216223,447,273.7,327.6106060606061,149.1193103448276,685.1582278481013,820.1136363636364,373.2931034482759,0.5658227848101266,0.6772727272727272,0.3082758620689655
마케팅회사,2850,1120,646105,983375,745,345.0438596491228,878.0133928571429,247.70151133501258,226.70350877192982,576.8794642857143,162.7468513853904,0.2614035087719298,0.6651785714285714,0.18765743073047858
디지털마케팅,2450,1440,13561,313640,5420,128.01632653061225,217.80555555555554,80.62724935732648,5.5351020408163265,9.417361111111111,3.4861182519280205,2.2122448979591836,3.763888888888889,1.3933161953727506
광고회사,1510,2170,47221,1298765,13235,860.1092715231788,598.5092165898618,352.92527173913044,31.272185430463576,21.760829493087556,12.83179347826087,8.764900662251655,6.099078341013825,3.5964673913043477
마케팅에이전시,110,200,18781,29649,9,269.53636363636366,148.245,95.64193548387097,170.73636363636365,93.905,60.58387096774194,0.08181818181818182,0.045,0.02903225806451613
종합광고대행사,810,240,7526,21618,9,26.68888888888889,90.075,20.588571428571427,9.291358024691357,31.358333333333334,7.167619047619048,0.011111111111111112,0.0375,0.008571428571428572
온라인광고,1290,650,510323,728424,699,564.6697674418605,1120.6523076923077,375.4762886597938,395.59922480620156,785.1123076923077,263.0530927835052,0.541860465116279,1.0753846153846154,0.36030927835051546
블로그체험단,5570,11300,523552,419261,53,75.27127468581688,37.10274336283186,24.852459988144634,93.99497307001795,46.33203539823009,31.03449911084766,0.009515260323159785,0.004690265486725664,0.003141671606401897
인스타팔로워늘리기,3990,40900,4156,14763,7,3.7,0.36095354523227385,0.32887057251058144,1.0416040100250628,0.10161369193154034,0.09258186678547561,0.0017543859649122807,0.00017114914425427874,0.0001559367342392515
광고,14300,18600,9642047,8819080,309733,616.7188811188811,474.14408602150536,268.0571428571429,674.269020979021,518.389623655914,293.07133738601823,21.65965034965035,16.65231182795699,9.414376899696048
마케팅교육,2050,460,454336,676159,610,329.83365853658535,1469.9108695652174,269.3860557768924,221.62731707317073,987.6869565217391,181.01035856573705,0.2975609756097561,1.326086956521739,0.24302788844621515
네이버파워링크,5300,4650,11385,42056,8,7.935094339622641,9.044301075268818,4.2267336683417085,2.1481132075471696,2.4483870967741934,1.1442211055276381,0.0015094339622641509,0.0017204301075268817,0.0008040201005025126
인스타홍보,3000,3480,136537,277456,205,92.48533333333333,79.72873563218391,42.81728395061728,45.51233333333333,39.23477011494253,21.070524691358024,0.06833333333333333,0.05890804597701149,0.031635802469135804
SNS마케팅교육,1060,560,9081,90731,47,85.59528301886793,162.01964285714286,56.00679012345679,8.566981132075473,16.21607142857143,5.605555555555555,0.04433962264150943,0.08392857142857142,0.029012345679012345
파워블로거,2540,3930,130728,306761,139,120.7720472440945,78.05623409669211,47.41282843894899,51.46771653543307,33.26412213740458,20.205255023183927,0.0547244094488189,0.03536895674300254,0.021483771251931995
네이버광고관리시스템,31100,33300,1059,25847,1,0.8310932475884244,0.7761861861861862,0.40135093167701863,0.03405144694533762,0.0318018018018018,0.01644409937888199,3.215434083601286e-05,3.003003003003003e-05,1.5527950310559007e-05
마케팅종류,1570,1450,109115,296519,59997,188.8656050955414,204.49586206896552,98.18509933774834,69.5,75.25172413793103,36.13079470198676,38.21464968152866,41.37724137931035,19.86655629139073
온라인광고대행사,1720,540,21155,78781,3,45.80290697674418,145.89074074074074,34.85884955752213,12.299418604651162,39.175925925925924,9.360619469026549,0.0017441860465116279,0.005555555555555556,0.001327433628318584
CPA광고,1270,330,10863,21844,238,17.2,66.19393939393939,13.6525,8.553543307086613,32.91818181818182,6.789375,0.18740157480314962,0.7212121212121212,0.14875
배너광고,1970,2040,151293,199581,34902,101.31015228426396,97.83382352941176,49.77082294264339,76.79847715736041,74.16323529411764,37.728927680798,17.716751269035534,17.108823529411765,8.703740648379052
마케팅학원,650,190,106532,165740,1336,254.98461538461538,872.3157894736842,197.3095238095238,163.89538461538461,560.6947368421053,126.82380952380953,2.0553846153846154,7.031578947368421,1.5904761904761904
체험단,4380,4020,1747570,1974167,261,450.7230593607306,491.0863184079602,235.01988095238096,398.98858447488584,434.71890547263683,208.04404761904763,0.05958904109589041,0.06492537313432836,0.031071428571428573
블로그,22400,78700,22490597,34507594,10718,1540.5175892857144,438.4700635324015,341.32140454995056,1004.0445089285714,285.7763278271919,222.458921859545,0.47848214285714286,0.13618805590851335,0.10601384767556875
네이버광고대행,220,150,25838,26024,3,118.2909090909091,173.49333333333334,70.33513513513513,117.44545454545455,172.25333333333333,69.83243243243243,0.013636363636363636,0.02,0.008108108108108109
마케팅강의,1050,230,203155,296100,287,282.0,1287.391304347826,231.328125,193.48095238095237,883.2826086956521,158.71484375,0.2733333333333333,1.2478260869565216,0.22421875
광고대행업체,350,310,434416,124734,17,356.3828571428571,402.3677419354839,188.9909090909091,1241.1885714285713,1401.3419354838709,658.2060606060606,0.04857142857142857,0.054838709677419356,0.025757575757575757
SEO최적화,290,100,3412,11191,28,38.58965517241379,111.91,28.694871794871794,11.76551724137931,34.12,8.748717948717948,0.09655172413793103,0.28,0.07179487179487179
네이버검색광고,30200,19400,275206,203140,31,6.726490066225166,10.471134020618557,4.095564516129032,9.112781456953643,14.185876288659793,5.548508064516129,0.0010264900662251657,0.001597938144329897,0.000625
블로그알바,890,1720,9358,411697,2,462.5808988764045,239.35872093023255,157.7383141762452,10.514606741573033,5.440697674418605,3.5854406130268197,0.0022471910112359553,0.0011627906976744186,0.0007662835249042146
광고사이트,270,180,1148281,1104168,471,4089.511111111111,6134.266666666666,2453.7066666666665,4252.892592592592,6379.3388888888885,2551.7355555555555,1.7444444444444445,2.6166666666666667,1.0466666666666666
광고기획,1090,620,43159,377577,1187,346.4009174311927,608.9951612903226,220.80526315789473,39.595412844036694,69.61129032258064,25.23918128654971,1.0889908256880734,1.914516129032258,0.6941520467836257
쇼핑몰광고,520,290,304621,379223,309737,729.275,1307.6655172413793,468.17654320987657,585.8096153846154,1050.4172413793103,376.0753086419753,595.6480769230769,1068.058620689655,382.3913580246914
바이럴마케팅대행,2350,450,12052,53523,5,22.775744680851062,118.94,19.115357142857142,5.128510638297873,26.782222222222224,4.304285714285714,0.002127659574468085,0.011111111111111112,0.0017857142857142857
